ID,NUMBER,CONCEPTICON_ID,CONCEPTICON_GLOSS,ENGLISH,DIACL_ID,DIACL_CATEGORY,DIACL_NOTE
Carling-2017-209b-34,34,379,BLUNT,dull,2034,,
Carling-2017-209b-35,35,2,DUST,dust,2035,,
Carling-2017-209b-36,36,1247,EAR,ear,2036,,
Carling-2017-209b-37,37,1228,EARTH (SOIL),"earth (soil, ground)",2037,,
Carling-2017-209b-38,38,1336,EAT,to eat,2038,,
Carling-2017-209b-39,39,744,EGG,egg,2039,,
Carling-2017-209b-40,40,1248,EYE,eye,2040,,
Carling-2017-209b-41,41,1280,FALL,to fall,2041,,
Carling-2017-209b-42,42,1406,FAR,far,2042,,
Carling-2017-209b-43,43,323,FAT (ORGANIC SUBSTANCE),fat (organic substance),2043,,
Carling-2017-209b-44,44,1217,FATHER,father,2044,,
Carling-2017-209b-45,45,1419,FEAR (BE AFRAID),to fear,2045,,
Carling-2017-209b-46,46,1201,FEATHER,feather (not down),2046,,
Carling-2017-209b-47,47,1242,FEW,few,2047,,
Carling-2017-209b-48,48,1423,FIGHT,to fight,2048,,
Carling-2017-209b-49,49,1258,FINGERNAIL,fingernail,2049,,
Carling-2017-209b-50,50,221,FIRE,fire,2050,,
Carling-2017-209b-51,51,227,FISH,fish (n),2051,,
Carling-2017-209b-52,52,493,FIVE,five,2052,,
Carling-2017-209b-53,53,1574,FLOAT,to float,2053,,
Carling-2017-209b-54,54,2003,FLOW,to flow,2054,,
Carling-2017-209b-55,55,239,FLOWER,flower,2055,,
Carling-2017-209b-56,56,1441,FLY (MOVE THROUGH AIR),to fly,2056,,
Carling-2017-209b-57,57,249,FOG,fog (mist),2057,,
Carling-2017-209b-58,58,1301,FOOT,foot (not leg),2058,,
Carling-2017-209b-59,59,1500,FOUR,four,2059,,
Carling-2017-209b-60,60,1431,FREEZE,to freeze,2060,,
Carling-2017-209b-61,61,1507,FRUIT,fruit,2061,,
Carling-2017-209b-62,62,1429,FULL,full,2062,,
Carling-2017-209b-63,63,1447,GIVE,to give,2063,,
Carling-2017-209b-64,64,1035,GOOD,good,2064,,
Carling-2017-209b-65,65,606,GRASS,grass,2065,,
Carling-2017-209b-66,66,1425,GREEN,green (colour),2066,,
Carling-2017-209b-67,67,1334,GUTS,guts,2067,,
Carling-2017-209b-68,68,2648,HAIR (HEAD),hair (of head),2068,,
Carling-2017-209b-69,69,1277,HAND,hand (not arm),2069,,
Carling-2017-209b-70,70,1211,HE,he (3sg m),2070,,
Carling-2017-209b-71,71,1256,HEAD,head (anatomic),2071,,
Carling-2017-209b-72,72,1408,HEAR,to hear,2072,,
Carling-2017-209b-73,73,1223,HEART,heart (organ),2073,,
Carling-2017-209b-74,74,1210,HEAVY,heavy,2074,,
Carling-2017-209b-75,75,136,HERE,here (proximal),2075,,
Carling-2017-209b-76,76,1433,HIT,to hit,2076,,
Carling-2017-209b-77,77,1448,HOLD,to hold,2077,,
Carling-2017-209b-78,78,1393,HORN (ANATOMY),horn,2078,,
Carling-2017-209b-79,79,1239,HOW,how?,2079,,
Carling-2017-209b-80,80,1435,HUNT,to hunt,2080,,
Carling-2017-209b-81,81,1200,HUSBAND,husband,2081,,
Carling-2017-209b-82,82,1209,I,I (1sg),2082,,
Carling-2017-209b-83,83,617,ICE,ice,2083,,
Carling-2017-209b-84,84,1459,IF,if,2084,,
Carling-2017-209b-85,85,1460,IN,in,2085,,
Carling-2017-209b-86,86,1417,KILL,to kill,2086,,
Carling-2017-209b-87,87,1371,KNEE,knee,2087,,
Carling-2017-209b-88,88,1410,KNOW (SOMETHING),to know,2088,,
Carling-2017-209b-89,89,624,LAKE,lake,2089,,
Carling-2017-209b-90,90,1355,LAUGH,to laugh,2090,,
Carling-2017-209b-91,91,628,LEAF,leaf (botanics),2091,,
Carling-2017-209b-92,92,244,LEFT,left (not right),2092,,
Carling-2017-209b-93,93,1297,LEG,leg,2093,,
Carling-2017-209b-94,94,1411,LIE (REST),to lie (recline),2094,,
Carling-2017-209b-95,95,1422,BE ALIVE,to live,2095,,
Carling-2017-209b-96,96,1224,LIVER,liver,2096,,
Carling-2017-209b-97,97,1203,LONG,long (adj),2097,,
Carling-2017-209b-98,98,1392,LOUSE,louse (lice),2098,,
Carling-2017-209b-99,99,1554,MAN,man (adult male human),2099,,
Carling-2017-209b-100,100,1198,MANY,many,2100,,
Carling-2017-209b-101,101,2615,FLESH OR MEAT,meat/flesh,2101,,
Carling-2017-209b-102,102,1313,MOON,moon,2102,,
Carling-2017-209b-103,103,1216,MOTHER,mother,2103,,
Carling-2017-209b-104,104,639,MOUNTAIN,mountain,2104,,
Carling-2017-209b-105,105,674,MOUTH,mouth,2105,,
Carling-2017-209b-106,106,1405,NAME,name,2106,,
Carling-2017-209b-107,107,1267,NARROW,narrow,2107,,
Carling-2017-209b-108,108,1942,NEAR,near,2108,,
Carling-2017-209b-109,109,1333,NECK,neck,2109,,
Carling-2017-209b-110,110,1231,NEW,new,2110,,
Carling-2017-209b-111,111,1233,NIGHT,night,2111,,
Carling-2017-209b-112,112,1221,NOSE,nose,2112,,
Carling-2017-209b-113,113,1240,NOT,not,2113,,
Carling-2017-209b-114,114,1229,OLD,old,2114,,
Carling-2017-209b-115,115,1493,ONE,one,2115,,
Carling-2017-209b-116,116,197,OTHER,other,2116,,
Carling-2017-209b-117,117,683,PERSON,person (individual human),2117,,
Carling-2017-209b-118,118,1413,PLAY,to play,2118,,
Carling-2017-209b-119,119,1455,PULL,to pull,2119,,
Carling-2017-209b-120,120,1452,PUSH,to push,2120,,
Carling-2017-209b-121,121,658,RAIN (PRECIPITATION),rain (n),2121,,
Carling-2017-209b-122,122,156,RED,red (colour),2122,,
Carling-2017-209b-123,123,1725,CORRECT (RIGHT),right (correct),2123,,
Carling-2017-209b-124,124,1019,RIGHT,right (side),2124,,
Carling-2017-209b-125,125,666,RIVER,river,2125,,
Carling-2017-209b-126,126,2457,PATH OR ROAD,road/path,2126,,
Carling-2017-209b-127,127,670,ROOT,root (botanics),2127,,
Carling-2017-209b-128,128,1218,ROPE,rope,2128,,
Carling-2017-209b-129,129,1728,ROTTEN,rotten (adj),2129,,
Carling-2017-209b-130,130,1395,ROUND,round,2130,,
Carling-2017-209b-131,131,1449,RUB,to rub,2131,,
Carling-2017-209b-132,132,1274,SALT,salt,2132,,
Carling-2017-209b-133,133,671,SAND,sand,2133,,
Carling-2017-209b-134,134,1458,SAY,to say,2134,,
Carling-2017-209b-135,135,1436,SCRATCH,to scratch,2135,,
Carling-2017-209b-136,136,1474,SEA,sea,2136,,
Carling-2017-209b-137,137,1409,SEE,to see,2137,,
Carling-2017-209b-138,138,714,SEED,seed (n),2138,,
Carling-2017-209b-139,139,1457,SEW,to sew,2139,,
Carling-2017-209b-140,140,1396,SHARP,sharp,2140,,
Carling-2017-209b-141,141,1645,SHORT,short,2142,,
Carling-2017-209b-142,142,1261,SING,to sing,2143,,
Carling-2017-209b-143,143,1416,SIT,to sit,2144,,
Carling-2017-209b-144,144,2613,SKIN (HUMAN),skin (person's),2145,,
Carling-2017-209b-145,145,1732,SKY,sky,2146,,
Carling-2017-209b-146,146,1585,SLEEP,to sleep,2147,,
Carling-2017-209b-147,147,1246,SMALL,small,2148,,
Carling-2017-209b-148,148,2124,SMELL,to smell,2149,,
Carling-2017-209b-149,149,1234,SMOOTH,smooth,2150,,
Carling-2017-209b-150,150,730,SNAKE,snake,2151,,
Carling-2017-209b-151,151,784,SNOW,snow (n),2152,,
Carling-2017-209b-152,152,1241,SOME,some,2153,,
Carling-2017-209b-153,153,1440,SPIT,to spit,2154,,
Carling-2017-209b-154,154,1437,SPLIT,to split,2155,,
Carling-2017-209b-155,155,1414,SQUEEZE,to squeeze,2156,,
Carling-2017-209b-156,156,1434,STAB,to stab,2157,,
Carling-2017-209b-157,157,1442,STAND,to stand,2158,,
Carling-2017-209b-158,158,1430,STAR,star,2159,,
Carling-2017-209b-159,159,1295,STICK,stick (n),2160,,
Carling-2017-209b-160,160,857,STONE,stone,2161,,
Carling-2017-209b-161,161,1404,STRAIGHT,straight,2162,,
Carling-2017-209b-162,162,1421,SUCK,to suck,2163,,
Carling-2017-209b-163,163,1343,SUN,sun,2164,,
Carling-2017-209b-164,164,1573,SWELL,to swell,2165,,
Carling-2017-209b-165,165,1439,SWIM,to swim,2166,,
Carling-2017-209b-166,166,1220,TAIL,tail,2167,,
Carling-2017-209b-167,167,78,THAT,"that (deixis, distal)",2168,,
Carling-2017-209b-168,168,1937,THERE,there (distal),2169,,
Carling-2017-209b-169,169,817,THEY,they (3pl),2170,,
Carling-2017-209b-170,170,1244,THICK,thick,2171,,
Carling-2017-209b-171,171,2308,THIN,thin,2172,,
Carling-2017-209b-172,172,2271,THINK,to think,2173,,
Carling-2017-209b-173,173,1214,THIS,"this (deixis, proximal)",2174,,
Carling-2017-209b-174,174,1215,THOU,thou (2sg),2175,,
Carling-2017-209b-175,175,492,THREE,three,2176,,
Carling-2017-209b-176,176,1456,THROW,to throw,2177,,
Carling-2017-209b-177,177,1917,TIE,to tie,2178,,
Carling-2017-209b-178,178,1205,TONGUE,tongue (anatomical),2179,,
Carling-2017-209b-179,179,1380,TOOTH,tooth (general),2180,,
Carling-2017-209b-180,180,906,TREE,tree,2181,,
Carling-2017-209b-181,181,1588,TURN,to turn,2182,,
Carling-2017-209b-182,182,1498,TWO,two,2183,,
Carling-2017-209b-183,183,1443,WALK,to walk,2184,,
Carling-2017-209b-184,184,2110,WARM (OF WEATHER),warm (of weather),2185,,
Carling-2017-209b-185,185,1453,WASH,to wash/to bathe,2186,,
Carling-2017-209b-186,186,948,WATER,water (n),2187,,
Carling-2017-209b-187,187,1726,WET,wet,2189,,
Carling-2017-209b-188,188,1236,WHAT,what?,2190,,
Carling-2017-209b-189,189,1238,WHEN,when?,2191,,
Carling-2017-209b-190,190,1237,WHERE,where?,2192,,
Carling-2017-209b-191,191,1335,WHITE,white (colour),2193,,
Carling-2017-209b-192,192,1235,WHO,who?,2194,,
Carling-2017-209b-193,193,1243,WIDE,wide,2195,,
Carling-2017-209b-194,194,1199,WIFE,wife,2196,,
Carling-2017-209b-195,195,960,WIND,wind,2197,,
Carling-2017-209b-196,196,1257,WING,wing,2198,,
Carling-2017-209b-197,197,1454,WIPE,to wipe,2199,,
Carling-2017-209b-198,198,1340,WITH,with (accompanying),2200,,
Carling-2017-209b-199,199,962,WOMAN,woman,2201,,
Carling-2017-209b-200,200,1278,VOMIT,to vomit,2202,,
Carling-2017-209b-201,201,420,FOREST,woods/forest,2203,,
Carling-2017-209b-202,202,1219,WORM,worm,2204,,
Carling-2017-209b-203,203,1226,YEAR,year,2205,,
Carling-2017-209b-204,204,1424,YELLOW,yellow (colour),2206,,
Carling-2017-209b-205,205,1213,YOU,you (2pl),2207,,
Carling-2017-209b-206,206,1131,WE (INCLUSIVE),we (1pl incl.),2208,,
Carling-2017-209b-207,207,778,SMOKE (EXHAUST),smoke (n),2209,,
Carling-2017-209b-208,208,1212,WE,we (1pl),12373,,
Carling-2017-209b-209,209,1130,WE (EXCLUSIVE),we (1pl excl.),12374,,
Carling-2017-240c-1,1,506,MAIZE,"maize, corn",4001,Agricultural produce,
Carling-2017-240c-2,2,159,SWEET POTATO,sweet potato,4002,Agricultural produce,
Carling-2017-240c-3,3,925,CASSAVA,manioc,4003,Agricultural produce,
Carling-2017-240c-4,4,974,TOBACCO,tobacco,12139,Agricultural produce,
Carling-2017-240c-5,5,832,BEAN,bean,12169,Agricultural produce,
Carling-2017-240c-6,6,919,CHILI PEPPER,chili,12170,Agricultural produce,
Carling-2017-240c-7,7,1850,COTTON,cotton,12171,Agricultural produce,
Carling-2017-240c-8,8,411,GOURD,gourd,12172,Agricultural produce,
Carling-2017-240c-9,9,864,PUMPKIN,pumpkin,12173,Agricultural produce,
Carling-2017-240c-10,10,410,YAM,yam,12174,Agricultural produce,
Carling-2017-240c-11,11,593,POTATO,potato,12175,Agricultural produce,
Carling-2017-240c-12,12,312,TAPIR,tapir,4004,Wild animals,
Carling-2017-240c-13,13,1250,JAGUAR,jaguar,4005,Wild animals,
Carling-2017-240c-14,14,1885,ARMADILLO,armadillo,4006,Wild animals,
Carling-2017-240c-15,15,1630,MACAW,macaw,4007,Wild animals,
Carling-2017-240c-16,16,882,PARROT,parrot,4008,Wild animals,
Carling-2017-240c-17,17,308,TOUCAN,toucan,4009,Wild animals,
Carling-2017-240c-18,18,315,CURASSOW,"mutum, curassow",4010,Wild animals,
Carling-2017-240c-19,19,2438,CAIMAN,caiman,4011,Wild animals,
Carling-2017-240c-20,20,227,FISH,fish (n),12151,Wild animals,
Carling-2017-240c-21,21,843,SPIDER,spider,12340,Wild animals,
Carling-2017-240c-22,22,1791,BUTTERFLY,butterfly,12341,Wild animals,
Carling-2017-240c-23,23,314,CAPYBARA,capybara,12342,Wild animals,
Carling-2017-240c-24,24,730,SNAKE,snake,12343,Wild animals,
Carling-2017-240c-25,25,587,ANT,ant,12344,Wild animals,
Carling-2017-240c-26,26,,,margay,12345,Wild animals,
Carling-2017-240c-27,27,2640,LARVA,larva,12346,Wild animals,
Carling-2017-240c-28,28,,,Brazilian tortoise,12347,Wild animals,
Carling-2017-240c-29,29,1350,MONKEY,monkey,12348,Wild animals,
Carling-2017-240c-30,30,1793,BAT,bat,12349,Wild animals,
Carling-2017-240c-31,31,316,PACA,paca,12350,Wild animals,
Carling-2017-240c-32,32,436,WHITE-LIPPED PECCARY,white-lipped peccary,12351,Wild animals,
Carling-2017-240c-33,33,435,COLLARED PECCARY,collared peccary,12352,Wild animals,
Carling-2017-240c-34,34,1490,RAT,rat,12353,Wild animals,
Carling-2017-240c-35,35,1936,DEER,deer,12354,Wild animals,
Carling-2017-240c-36,36,313,AGOUTI,agouti,12355,Wild animals,
Carling-2017-240c-37,37,,,guan bird,12356,Wild animals,
Carling-2017-240c-38,38,309,OPOSSUM,opossum,12357,Wild animals,
Carling-2017-240c-39,39,,,tinamou bird,12358,Wild animals,
Carling-2017-240c-40,40,,,white-throated tinamou,12359,Wild animals,
Carling-2017-240c-41,41,937,BIRD,bird,12376,Wild animals,
Carling-2017-240c-42,42,1430,STAR,star,4012,Celestial bodies,
Carling-2017-240c-43,43,1343,SUN,sun,4013,Celestial bodies,
Carling-2017-240c-44,44,1313,MOON,moon,4014,Celestial bodies,
Carling-2017-240c-45,45,948,WATER,water (n),4015,Physical/natural world,
Carling-2017-240c-46,46,1228,EARTH (SOIL),"earth (soil, ground)",12137,Physical/natural world,
Carling-2017-240c-47,47,141,BURN (SOMETHING),to burn (tr.),12138,Physical/natural world,
Carling-2017-240c-48,48,906,TREE,tree,12207,Physical/natural world,
Carling-2017-240c-49,49,646,ASH,ash(es),12208,Physical/natural world,
Carling-2017-240c-50,50,778,SMOKE (EXHAUST),smoke (n),12209,Physical/natural world,
Carling-2017-240c-51,51,221,FIRE,fire,12210,Physical/natural world,
Carling-2017-240c-52,52,639,MOUNTAIN,mountain,12211,Physical/natural world,
Carling-2017-240c-53,53,,*SHORE OR BANK,"shore, bank",12212,Physical/natural world,
Carling-2017-240c-54,54,1474,SEA,sea,12213,Physical/natural world,
Carling-2017-240c-55,55,645,OCEAN,ocean,12214,Physical/natural world,
Carling-2017-240c-56,56,624,LAKE,lake,12215,Physical/natural world,
Carling-2017-240c-57,57,,*FLOWING BODY OF WATER,"river, stream, brook",12216,Physical/natural world,
Carling-2017-240c-58,58,420,FOREST,woods/forest,12217,Physical/natural world,
Carling-2017-240c-59,59,1188,CHARCOAL,charcoal,12218,Physical/natural world,
Carling-2017-240c-60,60,1300,COUNTRY,"country, land",12219,Physical/natural world,
Carling-2017-240c-61,61,623,LAGOON,lagoon,12220,Physical/natural world,
Carling-2017-240c-62,62,,*CLAY OR MUD,"clay, mud",12221,Physical/natural world,
Carling-2017-240c-63,63,1598,NORTH,north,12222,Physical/natural world,
Carling-2017-240c-64,64,1595,SOUTH,south,12223,Physical/natural world,
Carling-2017-240c-65,65,1877,EAST,east,12224,Physical/natural world,
Carling-2017-240c-66,66,1817,WEST,west,12225,Physical/natural world,
Carling-2017-240c-67,67,630,LIGHT (RADIATION),light (n),12226,Physical/natural world,
Carling-2017-240c-68,68,11,DARKNESS,darkness,12227,Physical/natural world,
Carling-2017-240c-69,69,943,WATERFALL,waterfall,12228,Physical/natural world,
Carling-2017-240c-70,70,1732,SKY,sky,12229,Physical/natural world,
Carling-2017-240c-71,71,960,WIND,wind,12230,Physical/natural world,
Carling-2017-240c-72,72,611,HARVEST,"harvest, crop",12140,Agriculture,
Carling-2017-240c-73,73,714,SEED,seed (n),12178,Agriculture,
Carling-2017-240c-74,74,212,FIELD,cultivated field,12179,Agriculture,
Carling-2017-240c-75,75,1541,CULTIVATE,to cultivate,12180,Agriculture,
Carling-2017-240c-76,76,748,SOW SEEDS,to sow,12181,Agriculture,
Carling-2017-240c-77,77,1927,BAMBOO,bamboo,12360,Wild plants,
Carling-2017-240c-78,78,,,açaí berry,12361,Wild plants,
Carling-2017-240c-79,79,,,moriche fruit,12362,Wild plants,
Carling-2017-240c-80,80,,,genipap fruit,12363,Wild plants,
Carling-2017-240c-81,81,239,FLOWER,flower,12364,Wild plants,
Carling-2017-240c-82,82,1507,FRUIT,fruit,12365,Wild plants,
Carling-2017-240c-83,83,,,patawa fruit,12366,Wild plants,
Carling-2017-240c-84,84,677,AXE,axe,12193,Hunting and fishing,
Carling-2017-240c-85,85,387,SLING,sling,12194,Hunting and fishing,
Carling-2017-240c-86,86,994,BOW,bow,12195,Hunting and fishing,
Carling-2017-240c-87,87,977,ARROW,arrow,12196,Hunting and fishing,
Carling-2017-240c-88,88,945,SPEAR,spear,12197,Hunting and fishing,
Carling-2017-240c-89,89,1074,FISHHOOK,fish-hook,12198,Hunting and fishing,
Carling-2017-240c-90,90,388,FISHNET,fish-net,12199,Hunting and fishing,
Carling-2017-240c-91,91,389,FISH TRAP,fish-trap,12200,Hunting and fishing,
Carling-2017-240c-92,92,1435,HUNT,to hunt,12201,Hunting and fishing,
Carling-2017-240c-93,93,1172,SHOOT,to shoot,12202,Hunting and fishing,
Carling-2017-240c-94,94,1763,CLUB,club,12203,Hunting and fishing,
Carling-2017-240c-95,95,1352,KNIFE,knife,12204,Hunting and fishing,
Carling-2017-240c-96,96,1594,FLOUR,flour,12231,Products,
Carling-2017-240c-97,97,1274,SALT,salt,12232,Products,
Carling-2017-240c-98,98,404,ALCOHOL (FERMENTED DRINK),fermented drink,12233,Products,
Carling-2017-240c-99,99,1462,POT,cooking vessel,12189,Food preparation,
Carling-2017-240c-100,100,225,PESTLE,"pestle, pounder",12190,Food preparation,
Carling-2017-240c-101,101,476,CUP,"cup, glass",12191,Food preparation,
Carling-2017-240c-102,102,1462,POT,pot,12192,Food preparation,
Carling-2017-240c-103,103,1539,BASKET,basket,12182,Artefacts,
Carling-2017-240c-104,104,,,bag to keep feathers in,12183,Artefacts,
Carling-2017-240c-105,105,1475,COMB,comb,12184,Artefacts,
Carling-2017-240c-106,106,1002,STATUE,statue,12185,Artefacts,
Carling-2017-240c-107,107,1296,WALKING STICK,walking stick,12187,Artefacts,
Carling-2017-240c-108,108,1462,POT,pot,12188,Artefacts,
Carling-2017-240c-109,109,1358,ENEMY,enemy,12156,Social roles and positions,
Carling-2017-240c-110,110,1072,PRISONER,"captive, prisoner",12157,Social roles and positions,
Carling-2017-240c-111,111,930,VILLAGE,village,12252,Social roles and positions,
Carling-2017-240c-112,112,789,PEOPLE,people,12253,Social roles and positions,
Carling-2017-240c-113,113,302,CLAN,"tribe, clan",12254,Social roles and positions,
Carling-2017-240c-114,114,301,CHIEFTAIN,tribal chief,12255,Social roles and positions,
Carling-2017-240c-115,115,1325,FRIEND,friend,12256,Social roles and positions,
Carling-2017-240c-116,116,382,GOVERN,to govern,12257,Social roles and positions,
Carling-2017-240c-117,117,1508,KING,"king, governor",12258,Social roles and positions,
Carling-2017-240c-118,118,1306,QUEEN,queen,12259,Social roles and positions,
Carling-2017-240c-119,119,,,"lord, boss, proprietor",12260,Social roles and positions,
Carling-2017-240c-120,120,812,SLAVE,slave,12261,Social roles and positions,
Carling-2017-240c-121,121,255,SERVANT,servant,12262,Social roles and positions,
Carling-2017-240c-122,122,384,FREEMAN,free man,12263,Social roles and positions,
Carling-2017-240c-123,123,1128,ORDER,"to order, to command",12264,Social roles and positions,
Carling-2017-240c-124,124,1128,ORDER,to give order,12265,Social roles and positions,
Carling-2017-240c-125,125,1635,OBEY,to obey,12266,Social roles and positions,
Carling-2017-240c-126,126,1369,GOLD,gold,12205,Metals,
Carling-2017-240c-127,127,759,SILVER,silver,12206,Metals,
Carling-2017-240c-128,128,386,BATTLE-AXE,battle-axe,12160,Warfare,
Carling-2017-240c-129,129,579,BATTLE,battle,12161,Warfare,
Carling-2017-240c-130,130,994,BOW,bow,12162,Warfare,
Carling-2017-240c-131,131,977,ARROW,arrow,12163,Warfare,
Carling-2017-240c-132,132,945,SPEAR,spear,12164,Warfare,
Carling-2017-240c-133,133,1172,SHOOT,to shoot,12165,Warfare,
Carling-2017-240c-134,134,1763,CLUB,club,12166,Warfare,
Carling-2017-240c-135,135,1417,KILL,to kill,12326,Warfare,
Carling-2017-240c-136,136,1358,ENEMY,enemy,12327,Warfare,
Carling-2017-240c-137,137,1423,FIGHT,to fight,12328,Warfare,
Carling-2017-240c-138,138,935,WAR,war,12329,Warfare,
Carling-2017-240c-139,139,1338,PEACE,peace,12330,Warfare,
Carling-2017-240c-140,140,1561,ARMY,army,12331,Warfare,
Carling-2017-240c-141,141,783,VICTORY,victory,12332,Warfare,
Carling-2017-240c-142,142,782,DEFEAT,defeat (n),12333,Warfare,
Carling-2017-240c-143,143,722,ATTACK,to attack,12334,Warfare,
Carling-2017-240c-144,144,1330,DEFEND,to defend,12335,Warfare,
Carling-2017-240c-145,145,1072,PRISONER,"captive, prisoner",12336,Warfare,
Carling-2017-240c-146,146,65,AMBUSH,ambush (n),12337,Warfare,
Carling-2017-240c-147,147,,,trumpeter bird (watchbird),12338,Warfare,
Carling-2017-240c-148,148,,*POINT (POINTED END),arrow tip,12339,Warfare,
Carling-2017-240c-149,149,1343,SUN,sun,12152,Religion,
Carling-2017-240c-150,150,1313,MOON,moon,12153,Religion,
Carling-2017-240c-151,151,946,BLOOD,blood (n),12234,Religion,
Carling-2017-240c-152,152,1669,ANCESTORS,ancestors,12235,Religion,
Carling-2017-240c-153,153,490,DESCENDANTS,descendants,12236,Religion,
Carling-2017-240c-154,154,1689,SMOKE (INHALE),to smoke,12237,Religion,
Carling-2017-240c-155,155,1124,PIPE,pipe,12238,Religion,
Carling-2017-240c-156,156,777,FLUTE,flute,12239,Religion,
Carling-2017-240c-157,157,2136,BRASS INSTRUMENT (HORN OR TRUMPET),"horn, trumpet",12240,Religion,
Carling-2017-240c-158,158,24,PRAY,to pray,12241,Religion,
Carling-2017-240c-159,159,1973,DEMON,demon,12242,Religion,
Carling-2017-240c-160,160,1175,GHOST,ghost,12243,Religion,
Carling-2017-240c-161,161,908,DRUM,drum,12244,Religion,
Carling-2017-240c-162,162,661,RELIGION,religion,12245,Religion,
Carling-2017-240c-163,163,1944,GOD,God,12246,Religion,
Carling-2017-240c-164,164,1103,SACRIFICE,"sacrifice, offering",12247,Religion,
Carling-2017-240c-165,165,852,PRIEST,priest,12248,Religion,
Carling-2017-240c-166,166,304,PREACH,to preach,12249,Religion,
Carling-2017-240c-167,167,212,FIELD,cultivated field,12154,Settlement,
Carling-2017-240c-168,168,930,VILLAGE,village,12155,Settlement,
Carling-2017-240c-169,169,736,YARD,"yard, court",12250,Settlement,
Carling-2017-240c-170,170,586,GARDEN,garden,12251,Settlement,
Carling-2017-240c-171,171,1231,NEW,new,12158,Time,
Carling-2017-240c-172,172,1207,YOUNG,young,12159,Time,
Carling-2017-240c-173,173,892,TIME,time,12267,Time,
Carling-2017-240c-174,174,1789,AGE,age,12268,Time,
Carling-2017-240c-175,175,1229,OLD,old,12269,Time,
Carling-2017-240c-176,176,672,EARLY,early,12270,Time,
Carling-2017-240c-177,177,477,LATE,late,12271,Time,
Carling-2017-240c-178,178,452,DRY SEASON,dry season,12272,Time,
Carling-2017-240c-179,179,453,RAINY SEASON,rainy season,12273,Time,
Carling-2017-240c-180,180,1376,NOW,now,12274,Time,
Carling-2017-240c-181,181,1963,IMMEDIATELY,immediately,12275,Time,
Carling-2017-240c-182,182,1631,FAST,quick,12276,Time,
Carling-2017-240c-183,183,701,SLOW,slow,12277,Time,
Carling-2017-240c-184,184,754,HURRY,to hurry,12278,Time,
Carling-2017-240c-185,185,425,BE LATE,to delay,12279,Time,
Carling-2017-240c-186,186,1806,BEGIN,to begin,12280,Time,
Carling-2017-240c-187,187,1186,LAST (ENDURE),to last,12281,Time,
Carling-2017-240c-188,188,743,END (OF TIME),end (n),12282,Time,
Carling-2017-240c-189,189,1766,FINISH,"to complete, to finish",12283,Time,
Carling-2017-240c-190,190,1928,CEASE,"to stop, to cease",12284,Time,
Carling-2017-240c-191,191,790,READY,ready,12285,Time,
Carling-2017-240c-192,192,1676,ALWAYS,always,12286,Time,
Carling-2017-240c-193,193,1852,OFTEN,"often, frequently",12287,Time,
Carling-2017-240c-194,194,1544,SOMETIMES,sometimes,12288,Time,
Carling-2017-240c-195,195,703,SOON,soon,12289,Time,
Carling-2017-240c-196,196,418,FOR A LONG TIME,for a long time,12290,Time,
Carling-2017-240c-197,197,1656,NEVER,never,12291,Time,
Carling-2017-240c-198,198,204,AGAIN,again,12292,Time,
Carling-2017-240c-199,199,1225,DAY (NOT NIGHT),day,12293,Time,
Carling-2017-240c-200,200,729,DAWN,dawn,12294,Time,
Carling-2017-240c-201,201,1339,MORNING,morning,12295,Time,
Carling-2017-240c-202,202,12,MIDDAY,noon,12296,Time,
Carling-2017-240c-203,203,1807,AFTERNOON,afternoon,12297,Time,
Carling-2017-240c-204,204,1233,NIGHT,"night, late afternoon",12298,Time,
Carling-2017-240c-205,205,1283,TODAY,today,12299,Time,
Carling-2017-240c-206,206,1329,TOMORROW,tomorrow,12300,Time,
Carling-2017-240c-207,207,1179,DAY AFTER TOMORROW,day after tomorrow,12301,Time,
Carling-2017-240c-208,208,1174,YESTERDAY,yesterday,12302,Time,
Carling-2017-240c-209,209,1180,DAY BEFORE YESTERDAY,day before yesterday,12303,Time,
Carling-2017-240c-210,210,1353,HOUR,hour,12304,Time,
Carling-2017-240c-211,211,1323,CLOCK,"watch, clock",12305,Time,
Carling-2017-240c-212,212,1469,WEEK,week,12306,Time,
Carling-2017-240c-213,213,1699,SUNDAY,Sunday,12307,Time,
Carling-2017-240c-214,214,1697,MONDAY,Monday,12308,Time,
Carling-2017-240c-215,215,1695,TUESDAY,Tuesday,12309,Time,
Carling-2017-240c-216,216,1694,WEDNESDAY,Wednesday,12310,Time,
Carling-2017-240c-217,217,1693,THURSDAY,Thursday,12311,Time,
Carling-2017-240c-218,218,1692,FRIDAY,Friday,12312,Time,
Carling-2017-240c-219,219,1700,SATURDAY,Saturday,12313,Time,
Carling-2017-240c-220,220,1370,MONTH,month,12314,Time,
Carling-2017-240c-221,221,1226,YEAR,year,12315,Time,
Carling-2017-240c-222,222,1471,WINTER,winter,12316,Time,
Carling-2017-240c-223,223,1537,SPRINGTIME,spring,12317,Time,
Carling-2017-240c-224,224,1342,SUMMER,summer,12318,Time,
Carling-2017-240c-225,225,1276,AUTUMN,autumn,12319,Time,
Carling-2017-240c-226,226,691,SEASON,season,12320,Time,
Carling-2017-240c-227,227,1882,BEFORE,before,12321,Time,
Carling-2017-240c-228,228,1685,AFTER,after,12322,Time,
Carling-2017-240c-229,229,,*SHORT (TIME),"short, brief",12323,Time,
